composition,income,cum_sum,perc_sum
1 adult,12256,8418,0.17
1 adult,12320,8433,0.17
1 adult,12321,8451,0.17
1 adult,12358,8464,0.17
1 adult,12410,8472,0.17
1 adult,12410,8493,0.17
1 adult,12410,8502,0.17
1 adult,12410,8514,0.17
1 adult,12410,8521,0.17
1 adult,12410,8528,0.17
1 adult,12425,8571,0.17
1 adult,12425,8602,0.17
1 adult,12425,8615,0.17
1 adult,12425,8638,0.17
1 adult,12425,8649,0.17
1 adult,12425,8662,0.17
1 adult,12425,8732,0.17
1 adult,12425,8753,0.17
1 adult,12425,8767,0.17
1 adult,12425,8814,0.17
1 adult,12425,8844,0.17
1 adult,12500,8883,0.17
1 adult,12521,8895,0.17
1 adult,12627,8917,0.17
1 adult,12627,8940,0.17
1 adult,12627,8964,0.18
1 adult,12627,8993,0.18
1 adult,12627,9034,0.18
1 adult,12627,9055,0.18
1 adult,12627,9078,0.18
1 adult,12664,9091,0.18
1 adult,12710,9101,0.18
1 adult,12721,9167,0.18
1 adult,12732,9179,0.18
1 adult,12824,9185,0.18
1 adult,12828,9202,0.18
1 adult,12837,9212,0.18
1 adult,12900,9225,0.18
1 adult,12942,9248,0.18
1 adult,12971,9283,0.18
1 adult,13000,9296,0.18
1 adult,13000,9308,0.18
1 adult,13000,9315,0.18
1 adult,13000,9325,0.18
1 adult,13000,9342,0.18
1 adult,13046,9355,0.18
1 adult,13047,9368,0.18
1 adult,13047,9382,0.18
1 adult,13100,9388,0.18
1 adult,13150,9402,0.18
1 adult,13150,9414,0.18
1 adult,13153,9428,0.18
1 adult,13153,9448,0.19
1 adult,13154,9463,0.19
1 adult,13186,9476,0.19
1 adult,13200,9493,0.19
1 adult,13238,9501,0.19
1 adult,13258,9512,0.19
1 adult,13277,9570,0.19
1 adult,13277,9592,0.19
1 adult,13277,9628,0.19
1 adult,13277,9646,0.19
1 adult,13277,9659,0.19
1 adult,13341,9681,0.19
1 adult,13444,9713,0.19
1 adult,13444,9733,0.19
1 adult,13460,9751,0.19
1 adult,13460,9770,0.19
1 adult,13460,9779,0.19
1 adult,13460,9801,0.19
1 adult,13460,9817,0.19
1 adult,13481,9838,0.19
1 adult,13481,9848,0.19
1 adult,13500,9859,0.19
1 adult,13548,9872,0.19
1 adult,13574,9938,0.19
1 adult,13583,9970,0.19
1 adult,13583,9977,0.19
1 adult,13651,9990,0.19
1 adult,13651,10003,0.2
1 adult,13679,10014,0.2
1 adult,13679,10028,0.2
1 adult,13679,10039,0.2
1 adult,13679,10053,0.2
1 adult,13700,10065,0.2
1 adult,13784,10096,0.2
1 adult,13788,10108,0.2
1 adult,13875,10149,0.2
1 adult,13875,10162,0.2
1 adult,13889,10176,0.2
1 adult,13900,10184,0.2
1 adult,13900,10192,0.2
1 adult,14000,10212,0.2
1 adult,14000,10269,0.2
1 adult,14000,10320,0.2
1 adult,14000,10329,0.2
1 adult,14065,10339,0.2
1 adult,14082,10352,0.2
1 adult,14094,10365,0.2
1 adult,14168,10381,0.2
1 adult,14185,10393,0.2
1 adult,14205,10416,0.2
1 adult,14257,10441,0.2
1 adult,14289,10449,0.2
1 adult,14298,10482,0.2
1 adult,14300,10495,0.2
1 adult,14310,10504,0.21
1 adult,14310,10527,0.21
1 adult,14400,10553,0.21
1 adult,14400,10565,0.21
1 adult,14400,10601,0.21
1 adult,14479,10613,0.21
1 adult,14479,10620,0.21
1 adult,14479,10641,0.21
1 adult,14479,10653,0.21
1 adult,14479,10665,0.21
1 adult,14496,10683,0.21
1 adult,14496,10698,0.21
1 adult,14496,10708,0.21
1 adult,14496,10719,0.21
1 adult,14500,10737,0.21
1 adult,14500,10743,0.21
1 adult,14503,10799,0.21
1 adult,14527,10820,0.21
1 adult,14582,10849,0.21
1 adult,14626,10856,0.21
1 adult,14685,10872,0.21
1 adult,14700,10885,0.21
1 adult,14703,10907,0.21
1 adult,14731,10919,0.21
1 adult,14731,10940,0.21
1 adult,14731,10955,0.21
1 adult,14731,10978,0.21
1 adult,14731,10986,0.22
1 adult,14789,11015,0.22
1 adult,14800,11028,0.22
1 adult,14840,11033,0.22
1 adult,14892,11039,0.22
1 adult,14892,11060,0.22
1 adult,14892,11106,0.22
1 adult,14892,11150,0.22
1 adult,14910,11160,0.22
1 adult,14910,11174,0.22
1 adult,14910,11206,0.22
1 adult,14951,11220,0.22
1 adult,14996,11230,0.22
1 adult,14996,11241,0.22
1 adult,15000,11257,0.22
1 adult,15000,11268,0.22
1 adult,15010,11275,0.22
