FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2023,293,432.00,432.00,0.00,33.05
2023,294,545.83,432.00,0.00,146.88
2023,295,571.75,432.00,0.00,172.80
2023,296,593.35,432.00,0.00,194.40
2023,297,444.00,444.00,0.00,33.97
2023,298,560.99,444.00,0.00,150.96
2023,299,587.63,444.00,0.00,177.60
2023,300,609.83,444.00,0.00,199.80
2023,301,444.00,444.00,0.00,33.97
2023,302,560.99,444.00,0.00,150.96
2023,303,587.63,444.00,0.00,177.60
2023,304,609.83,444.00,0.00,199.80
2023,305,456.00,456.00,0.00,34.88
2023,306,576.16,456.00,0.00,155.04
2023,307,603.52,456.00,0.00,182.40
2023,308,626.32,456.00,0.00,205.20
2023,309,456.00,456.00,0.00,34.88
2023,310,576.16,456.00,0.00,155.04
2023,311,603.52,456.00,0.00,182.40
2023,312,626.32,456.00,0.00,205.20
2023,313,468.00,468.00,0.00,35.80
2023,314,591.32,468.00,0.00,159.12
2023,315,619.40,468.00,0.00,187.20
2023,316,642.80,468.00,0.00,210.60
2023,317,468.00,468.00,0.00,35.80
2023,318,591.32,468.00,0.00,159.12
2023,319,619.40,468.00,0.00,187.20
2023,320,642.80,468.00,0.00,210.60
2023,321,480.00,480.00,0.00,36.72
2023,322,606.48,480.00,0.00,163.20
2023,323,635.28,480.00,0.00,192.00
2023,324,659.28,480.00,0.00,216.00
2023,325,480.00,480.00,0.00,36.72
2023,326,606.48,480.00,0.00,163.20
2023,327,635.28,480.00,0.00,192.00
2023,328,659.28,480.00,0.00,216.00
2023,329,492.00,492.00,0.00,37.64
2023,330,621.64,492.00,0.00,167.28
2023,331,651.16,492.00,0.00,196.80
2023,332,675.76,492.00,0.00,221.40
2023,333,492.00,492.00,0.00,37.64
2023,334,621.64,492.00,0.00,167.28
2023,335,651.16,492.00,0.00,196.80
2023,336,675.76,492.00,0.00,221.40
2023,337,504.00,504.00,0.00,38.56
2023,338,636.80,504.00,0.00,171.36
2023,339,667.04,504.00,0.00,201.60
2023,340,692.24,504.00,0.00,226.80
2023,341,504.00,504.00,0.00,38.56
2023,342,636.80,504.00,0.00,171.36
2023,343,667.04,504.00,0.00,201.60
2023,344,692.24,504.00,0.00,226.80
2023,345,516.00,516.00,0.00,39.47
2023,346,651.97,516.00,0.00,175.44
2023,347,682.93,516.00,0.00,206.40
2023,348,708.73,516.00,0.00,232.20
2023,349,516.00,516.00,0.00,39.47
