FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2019,208,4120.50,3000.00,0.00,1350.00
2019,209,3120.00,3120.00,0.00,238.68
2019,210,3942.12,3120.00,0.00,1060.80
2019,211,4129.32,3120.00,0.00,1248.00
2019,212,4285.32,3120.00,0.00,1404.00
2019,213,3120.00,3120.00,0.00,238.68
2019,214,3942.12,3120.00,0.00,1060.80
2019,215,4129.32,3120.00,0.00,1248.00
2019,216,4285.32,3120.00,0.00,1404.00
2019,217,3240.00,3240.00,0.00,247.86
2019,218,4093.74,3240.00,0.00,1101.60
2019,219,4288.14,3240.00,0.00,1296.00
2019,220,4450.14,3240.00,0.00,1458.00
2019,221,3240.00,3240.00,0.00,247.86
2019,222,4093.74,3240.00,0.00,1101.60
2019,223,4288.14,3240.00,0.00,1296.00
2019,224,4450.14,3240.00,0.00,1458.00
2019,225,3360.00,3360.00,0.00,257.04
2019,226,4245.36,3360.00,0.00,1142.40
2019,227,4446.96,3360.00,0.00,1344.00
2019,228,4614.96,3360.00,0.00,1512.00
2019,229,3360.00,3360.00,0.00,257.04
2019,230,4245.36,3360.00,0.00,1142.40
2019,231,4446.96,3360.00,0.00,1344.00
2019,232,4614.96,3360.00,0.00,1512.00
2019,233,3480.00,3480.00,0.00,266.22
2019,234,4396.98,3480.00,0.00,1183.20
2019,235,4605.78,3480.00,0.00,1392.00
2019,236,4779.78,3480.00,0.00,1566.00
2019,237,3480.00,3480.00,0.00,266.22
2019,238,4396.98,3480.00,0.00,1183.20
2019,239,4605.78,3480.00,0.00,1392.00
2019,240,4779.78,3480.00,0.00,1566.00
2019,241,3600.00,3600.00,0.00,275.40
2019,242,4548.60,3600.00,0.00,1224.00
2019,243,4764.60,3600.00,0.00,1440.00
2019,244,4944.60,3600.00,0.00,1620.00
2019,245,3600.00,3600.00,0.00,275.40
2019,246,4548.60,3600.00,0.00,1224.00
2019,247,4764.60,3600.00,0.00,1440.00
2019,248,4944.60,3600.00,0.00,1620.00
