FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2018,207,3970.50,3000.00,0.00,1200.00
2018,208,4120.50,3000.00,0.00,1350.00
2018,209,3120.00,3120.00,0.00,238.68
2018,210,3942.12,3120.00,0.00,1060.80
2018,211,4129.32,3120.00,0.00,1248.00
2018,212,4285.32,3120.00,0.00,1404.00
2018,213,3120.00,3120.00,0.00,238.68
2018,214,3942.12,3120.00,0.00,1060.80
2018,215,4129.32,3120.00,0.00,1248.00
2018,216,4285.32,3120.00,0.00,1404.00
2018,217,3240.00,3240.00,0.00,247.86
2018,218,4093.74,3240.00,0.00,1101.60
2018,219,4288.14,3240.00,0.00,1296.00
2018,220,4450.14,3240.00,0.00,1458.00
2018,221,3240.00,3240.00,0.00,247.86
2018,222,4093.74,3240.00,0.00,1101.60
2018,223,4288.14,3240.00,0.00,1296.00
2018,224,4450.14,3240.00,0.00,1458.00
2018,225,3360.00,3360.00,0.00,257.04
2018,226,4245.36,3360.00,0.00,1142.40
2018,227,4446.96,3360.00,0.00,1344.00
2018,228,4614.96,3360.00,0.00,1512.00
2018,229,3360.00,3360.00,0.00,257.04
2018,230,4245.36,3360.00,0.00,1142.40
2018,231,4446.96,3360.00,0.00,1344.00
2018,232,4614.96,3360.00,0.00,1512.00
2018,233,3480.00,3480.00,0.00,266.22
2018,234,4396.98,3480.00,0.00,1183.20
2018,235,4605.78,3480.00,0.00,1392.00
2018,236,4779.78,3480.00,0.00,1566.00
2018,237,3480.00,3480.00,0.00,266.22
2018,238,4396.98,3480.00,0.00,1183.20
2018,239,4605.78,3480.00,0.00,1392.00
2018,240,4779.78,3480.00,0.00,1566.00
2018,241,3600.00,3600.00,0.00,275.40
2018,242,4548.60,3600.00,0.00,1224.00
2018,243,4764.60,3600.00,0.00,1440.00
2018,244,4944.60,3600.00,0.00,1620.00
2018,245,3600.00,3600.00,0.00,275.40
2018,246,4548.60,3600.00,0.00,1224.00
2018,247,4764.60,3600.00,0.00,1440.00
2018,248,4944.60,3600.00,0.00,1620.00
2018,249,3720.00,3720.00,0.00,284.58
2018,250,4700.22,3720.00,0.00,1264.80
2018,251,4923.42,3720.00,0.00,1488.00
2018,252,5109.42,3720.00,0.00,1674.00
2018,253,3720.00,3720.00,0.00,284.58
2018,254,4700.22,3720.00,0.00,1264.80
2018,255,4923.42,3720.00,0.00,1488.00
2018,256,5109.42,3720.00,0.00,1674.00
2018,257,3840.00,3840.00,0.00,293.76
2018,258,4851.84,3840.00,0.00,1305.60
2018,259,5082.24,3840.00,0.00,1536.00
2018,260,5274.24,3840.00,0.00,1728.00
2018,261,3840.00,3840.00,0.00,293.76
2018,262,4851.84,3840.00,0.00,1305.60
2018,263,5082.24,3840.00,0.00,1536.00
2018,264,5274.24,3840.00,0.00,1728.00
2018,265,3960.00,3960.00,0.00,302.94
2018,266,5003.46,3960.00,0.00,1346.40
2018,267,5241.06,3960.00,0.00,1584.00
2018,268,5439.06,3960.00,0.00,1782.00
2018,269,3960.00,3960.00,0.00,302.94
2018,270,5003.46,3960.00,0.00,1346.40
2018,271,5241.06,3960.00,0.00,1584.00
2018,272,5439.06,3960.00,0.00,1782.00
2018,273,4080.00,4080.00,0.00,312.12
2018,274,5155.08,4080.00,0.00,1387.20
2018,275,5399.88,4080.00,0.00,1632.00
2018,276,5603.88,4080.00,0.00,1836.00
2018,277,4080.00,4080.00,0.00,312.12
2018,278,5155.08,4080.00,0.00,1387.20
2018,279,5399.88,4080.00,0.00,1632.00
2018,280,5603.88,4080.00,0.00,1836.00
2018,281,4200.00,4200.00,0.00,321.30
2018,282,5306.70,4200.00,0.00,1428.00
2018,283,5558.70,4200.00,0.00,1680.00
2018,284,5768.70,4200.00,0.00,1890.00
2018,285,4200.00,4200.00,0.00,321.30
2018,286,5306.70,4200.00,0.00,1428.00
2018,287,5558.70,4200.00,0.00,1680.00
2018,288,5768.70,4200.00,0.00,1890.00
2018,289,4320.00,4320.00,0.00,330.48
2018,290,5458.32,4320.00,0.00,1468.80
2018,291,5717.52,4320.00,0.00,1728.00
2018,292,5933.52,4320.00,0.00,1944.00
2018,293,4320.00,4320.00,0.00,330.48
2018,294,5458.32,4320.00,0.00,1468.80
