size,income,cum_sum,grouping
1,26500,16139,group
1,26554,16237,group
1,26700,16255,group
1,26831,16278,group
1,26889,16323,group
1,26900,16335,group
1,26921,16404,group
1,26962,16427,group
1,27000,16473,group
1,27042,16488,group
1,27147,16501,group
1,27300,16518,group
1,27357,16533,group
1,27371,16554,group
1,27400,16562,group
1,27406,16591,group
1,27463,16611,group
1,27480,16619,group
1,27500,16655,group
1,27646,16664,group
1,27880,16675,group
1,27923,16803,group
1,27956,16891,group
1,27984,16904,group
1,28000,16968,group
1,28060,16980,group
1,28086,17006,group
1,28233,17018,group
1,28350,17031,group
1,28392,17039,group
1,28410,17062,group
1,28420,17077,group
1,28500,17112,group
1,28515,17127,group
1,28577,17161,group
1,28596,17366,group
1,28647,17379,group
1,28888,17401,group
1,28900,17407,group
1,28903,17463,group
1,28936,17473,group
1,28957,17781,group
1,28992,17897,group
1,29107,17958,group
1,29170,17980,group
1,29199,18001,group
1,29300,18006,group
1,29414,18026,group
1,29462,18049,group
1,29509,18127,group
1,29578,18147,group
1,29600,18175,group
1,29618,18223,group
1,29720,18237,group
1,29800,18244,group
1,29820,18267,group
1,29873,18292,group
1,29988,18349,group
1,29991,18387,group
1,30000,18579,group
1,30020,18592,group
1,30026,18615,group
1,30027,18628,group
1,30198,18644,group
1,30300,18679,group
1,30302,18701,group
1,30400,18713,group
1,30441,18728,group
1,30500,18750,group
1,30514,18852,group
1,30545,18865,group
1,30560,18879,group
1,30600,18899,group
1,30639,19062,group
1,30725,19070,group
1,30800,19081,group
1,31000,19101,group
1,31026,19207,group
1,31062,19488,group
1,31200,19526,group
1,31398,19540,group
1,31566,19592,group
1,31600,19621,group
1,31891,19633,group
1,32000,19731,group
1,32060,19754,group
1,32098,19777,group
1,32139,19785,group
1,32305,19799,group
1,32408,19813,group
1,32619,19877,group
1,32680,19905,group
1,32682,19938,group
1,32886,19961,group
1,33000,20007,group
1,33039,20028,group
1,33090,20040,group
1,33094,20060,group
1,33133,20133,group
1,33460,20144,group
1,33499,20166,group
1,33611,20202,group
1,33671,20309,group
1,33700,20325,group
1,33703,20349,group
1,33715,20390,group
1,33755,20405,group
1,33800,20416,group
1,33870,20435,group
1,33921,20480,group
1,34000,20508,group
1,34065,20531,group
1,34091,20553,group
1,34128,20652,group
1,34169,20679,group
1,34723,20694,group
1,34724,20727,group
1,34956,20739,group
1,35000,21020,group
1,35080,21031,group
1,35133,21045,group
1,35144,21072,group
1,35152,21094,group
1,35204,21162,group
1,35369,21174,group
1,35411,21185,group
1,35576,21206,group
1,35746,21254,group
1,35783,21293,group
1,35800,21305,group
1,35900,21319,group
1,35950,21367,group
1,36000,21383,group
1,36196,21396,group
1,36197,21451,group
1,36228,21463,group
1,36240,21544,group
1,36266,21616,group
1,36301,21620,group
1,36390,21639,group
1,36507,21658,group
1,36700,21682,group
1,36767,21750,group
1,36827,21861,group
1,36964,21884,group
1,36972,21911,group
1,37000,21925,group
1,37076,21962,group
1,37275,21990,group
1,37293,22006,group
1,37334,22040,group
1,37500,22060,group
1,37586,22103,group
1,37600,22138,group
1,37689,22157,group
1,37770,22176,group
1,37788,22187,group
1,37880,22240,group
1,37896,22272,group
1,38000,22301,group
1,38265,22321,group
1,38310,22328,group
1,38400,22354,group
1,38500,22442,group
1,38503,22454,group
1,38513,22468,group
1,38517,22491,group
1,38600,22510,group
1,38725,22529,group
1,38810,22572,group
1,38932,22614,group
1,39000,22671,group
1,39100,22679,group
1,39196,22690,group
1,39242,22713,group
1,39299,22929,group
1,39346,23049,group
1,39594,23077,group
1,39609,23094,group
1,39616,23116,group
1,39713,23127,group
1,39729,23138,group
1,39826,23145,group
1,39879,23158,group
1,39920,23182,group
1,40000,23373,group
1,40089,23389,group
1,40381,23408,group
1,40458,23423,group
1,40747,23436,group
1,40852,23521,group
1,40910,23535,group
1,41036,23547,group
1,41367,23626,group
1,41417,23723,group
1,41457,23740,group
1,41500,23758,group
1,41669,23780,group
1,41878,23797,group
1,41934,23818,group
1,42000,24000,group
1,42088,24101,group
1,42100,24113,group
1,42195,24131,group
1,42348,24144,group
1,42402,24166,group
1,42452,24202,group
1,42500,24229,group
1,42800,24240,group
1,42905,24254,group
1,42970,24290,group
1,43022,24312,group
1,43073,24336,group
1,43099,24349,group
1,43200,24376,group
1,43201,24436,group
1,43332,24450,group
1,43395,24463,group
1,43400,24482,group
1,43405,24550,group
1,43436,24661,group
1,43487,24721,group
1,43600,24741,group
1,43643,24758,group
1,44193,24855,group
1,44315,24868,group
1,44325,24880,group
1,44400,24904,group
1,44427,24920,group
1,44470,24961,group
1,44573,24972,group
1,44719,25042,group
1,44824,25063,group
1,44835,25088,group
1,45000,25199,group
1,45035,25211,group
1,45140,25225,group
1,45194,25240,group
1,45245,25253,group
1,45248,25276,group
1,45401,25290,group
1,45500,25311,group
